0,1,2,3,4,5,6,7,8,9
"
GETIN



","0,6050","-0,0140","-2,26%",96,111 894,"0,6010","0,6090","0,5930",02.01 16:42
"
GETINOBLE



","0,1477","-0,0014","-0,94%",183,140 072,"0,1500","0,1510","0,1463",29.09 17:00
"
GIGROUP



","1,4600","0,0600","4,29%",7,1 331,"1,4700","1,4700","1,4500",02.01 13:57
"
GLCOSMED



","3,1500","-0,0200","-0,63%",40,54 578,"3,1500","3,1500","3,1000",02.01 17:00
"
GOBARTO



","26,7000","1,4000","5,53%",8,12 399,"25,0000","26,9000","25,0000",02.01 16:44
"
GPW



","41,3400","-1,1600","-2,73%",794,2 542 749,"42,5000","42,6200","41,3400",02.01 17:03
"
GREENX



","2,5200","-0,0650","-2,51%",746,1 979 740,"2,6450","2,6600","2,5150",02.01 17:00
"
GRENEVIA



","3,2500","-0,1000","-2,99%",214,512 368,"3,4500","3,4500","3,2500",02.01 17:00
"
GRODNO



","10,4000","0,4000","4,00%",159,269 712,"10,0000","10,8400","10,0000",02.01 17:00
"
GRUPAAZOTY



","23,9400","-0,7600","-3,08%",1 254,4 942 134,"24,8800","25,1200","23,8200",02.01 17:00
"
GRUPRACUJ



","59,6000","-2,4000","-3,87%",62,280 686,"62,0000","62,0000","59,3000",02.01 17:00
"
GTC



","4,2600","0,0300","0,71%",21,24 454,"4,2500","4,3000","4,2500",02.01 16:13
"
HANDLOWY



","102,8000","1,4000","1,38%",544,2 608 248,"101,4000","104,0000","100,6000",02.01 17:00
"
HARPER



","7,1400","0,0600","0,85%",96,230 181,"7,0800","7,2200","6,8800",02.01 17:00
"
HELIO



","21,6000","1,8000","9,09%",46,89 879,"20,8000","21,6000","19,9000",02.01 16:47
"
HERKULES



","0,9080","-0,0020","-0,22%",51,40 621,"0,9400","0,9560","0,8660",02.01 14:02
"
HMINWEST



","46,7000","0,2000","0,43%",23,27 550,"45,0000","47,0000","43,5000",02.01 14:28
"
HUUUGE



","26,1500","-0,6500","-2,43%",275,1 082 666,"26,9500","26,9500","26,1000",02.01 17:00
"
HYDROTOR



","35,0000","0,0000","0,00%",25,19 942,"35,0000","35,4000","34,2000",02.01 16:41
"
IBSM



","84,0000","6,4000","8,25%",1,168,"84,0000","84,0000","84,0000",02.01 09:00
"
IDMSA



","0,5550","-0,0050","-0,89%",6,3 395,"0,5550","0,5600","0,5550",02.01 17:00
"
IFCAPITAL



","0,2520","0,0020","0,80%",1 599,1 482 435,"0,2500","0,3000","0,2480",19.09 17:01
"
IFIRMA



","33,9000","-1,0000","-2,87%",107,144 995,"34,9000","35,0000","33,5000",02.01 16:48
"
IFSA



","4,0700","0,8500","26,40%",87,104 668,"3,4700","4,1900","3,2000",02.01 17:00
"
IIAAV



","90,8000","0,6000","0,67%",2,4 905,"90,9000","90,9000","90,8000",29.12 16:01
"
IMCOMPANY



","9,0400","-0,0400","-0,44%",4,7 885,"9,2800","9,3000","9,0400",02.01 13:03
"
IMMOBILE



","2,6400","-0,0800","-2,94%",7,5 663,"2,7400","2,7400","2,6400",02.01 16:49
"
IMPERIO



","1,0800","-0,2000","-15,62%",44,98 740,"1,2800","1,2800","1,0500",28.09 17:00
"
IMS



","4,6500","-0,2000","-4,12%",54,34 508,"4,8500","4,8500","4,4400",02.01 17:00
"
INC



","2,1000","0,0200","0,96%",42,50 244,"2,0800","2,1900","2,0800",02.01 16:44
"
INGBSK



","253,0000","-3,0000","-1,17%",476,5 084 412,"257,0000","259,0000","252,0000",02.01 17:00
"
INPRO



","7,9500","0,1000","1,27%",2,652,"8,0000","8,0000","7,9500",02.01 09:16
"
INSTALKRK



","43,8000","0,8000","1,86%",61,309 341,"42,7000","44,8000","42,7000",02.01 16:47
"
INTERBUD



","1,9800","0,0200","1,02%",8,17 562,"2,1000","2,1000","1,9800",02.01 16:36
"
INTERCARS



","591,0000","-13,0000","-2,15%",161,2 886 844,"611,0000","611,0000","590,0000",02.01 17:00
